close,high,low,open,time,volume
2288.3,2289.85,2288.0,2289.85,1778256960,1885
2289.9,2289.9,2289.05,2289.7,1778256900,146
2289.85,2289.85,2289.35,2289.35,1778256840,1825
2289.55,2289.85,2289.35,2289.35,1778256780,326
2290.3,2290.3,2289.5,2289.5,1778256720,1770
2290.0,2290.3,2288.9,2288.9,1778256660,551
2289.35,2290.5,2289.2,2289.3,1778256600,316
2289.35,2289.35,2289.05,2289.3,1778256540,1264
2289.0,2290.1,2289.0,2289.95,1778256480,2131
2289.95,2291.9,2289.1,2291.9,1778256420,1615
2291.7,2291.7,2290.25,2290.7,1778256360,689
2291.25,2292.2,2288.85,2289.85,1778256300,1770
2288.55,2288.65,2287.95,2288.35,1778256240,6537
2287.95,2288.6,2287.65,2288.6,1778256180,1783
2289.0,2290.5,2287.95,2290.5,1778256120,2796
2290.8,2292.7,2290.25,2292.7,1778256060,5791
2292.95,2293.35,2292.1,2292.3,1778256000,2244
2291.9,2291.9,2290.55,2290.6,1778255940,2800
2290.15,2290.8,2290.15,2290.65,1778255880,515
2291.95,2293.35,2291.9,2292.1,1778255820,3184
2292.2,2292.65,2291.65,2292.4,1778255760,2538
2291.75,2293.05,2290.65,2291.4,1778255700,7005
2290.5,2291.05,2287.95,2288.65,1778255640,2385
2288.0,2288.25,2287.8,2287.8,1778255580,778
2286.9,2288.55,2286.3,2288.55,1778255520,460
2288.3,2288.3,2287.8,2287.8,1778255460,2
2287.35,2287.55,2287.0,2287.0,1778255400,1113
2286.7,2289.4,2286.7,2289.35,1778255340,2711
2289.25,2289.25,2286.9,2287.25,1778255280,4480
2286.8,2286.8,2284.4,2284.4,1778255220,3838
2283.35,2283.95,2283.35,2283.95,1778255160,1105
2283.95,2283.95,2283.65,2283.65,1778255100,1171
2284.05,2284.6,2282.8,2282.8,1778255040,301
2283.3,2283.4,2282.7,2282.7,1778254980,329
2285.35,2285.85,2284.1,2285.7,1778254920,3256
2285.0,2285.05,2283.95,2284.2,1778254860,1397
2284.0,2284.0,2281.25,2281.35,1778254800,5096
2282.3,2282.3,2280.9,2280.9,1778254740,1700
2280.75,2281.05,2280.0,2280.0,1778254680,1499
2279.8,2281.15,2279.8,2281.15,1778254620,1290
2281.4,2281.45,2280.85,2280.85,1778254560,908
2280.35,2281.6,2279.95,2281.35,1778254500,636
2281.1,2281.2,2279.45,2279.45,1778254440,3280
2278.65,2279.1,2278.4,2278.4,1778254380,708
2279.35,2279.35,2277.45,2277.65,1778254320,7074
2277.7,2277.7,2273.6,2273.8,1778254260,19098
2276.75,2277.2,2276.5,2276.65,1778254200,4123
2276.5,2276.5,2274.8,2274.8,1778254140,467
2274.55,2275.45,2274.3,2275.45,1778254080,1092
2275.3,2275.3,2274.65,2275.0,1778254020,4264
2274.15,2275.7,2274.15,2274.7,1778253960,761
2275.3,2275.3,2274.0,2274.65,1778253900,1489
2275.65,2275.65,2274.2,2274.95,1778253840,1384
2275.7,2279.7,2275.7,2279.65,1778253780,1943
2280.05,2281.1,2279.4,2280.15,1778253720,1158
2280.1,2280.1,2277.4,2278.8,1778253660,3661
2278.8,2278.8,2278.4,2278.4,1778253600,169
2279.3,2279.3,2278.05,2278.2,1778253540,1167
2277.45,2278.55,2277.0,2278.55,1778253480,1019
2279.3,2279.35,2278.75,2278.9,1778253420,4322
2279.5,2279.5,2276.85,2277.3,1778253360,1608
2277.3,2280.0,2277.0,2279.35,1778253300,3573
2279.35,2280.55,2279.35,2280.55,1778253240,461
2280.1,2280.1,2279.3,2279.7,1778253180,1028
2280.45,2281.05,2278.75,2281.05,1778253120,1043
2282.7,2282.75,2281.7,2281.7,1778253060,1091
2280.4,2280.4,2280.2,2280.2,1778253000,1092
2280.0,2280.9,2279.0,2280.15,1778252940,2440
2280.7,2281.75,2280.7,2281.75,1778252880,45
2282.95,2283.75,2282.95,2283.1,1778252820,100
2282.45,2282.45,2281.35,2281.45,1778252760,1851
2280.4,2281.9,2280.2,2281.5,1778252700,1794
2281.45,2282.4,2281.35,2282.1,1778252640,3630
2282.6,2282.7,2281.05,2282.7,1778252580,1061
2284.3,2286.7,2284.3,2286.7,1778252520,1431
2285.45,2285.6,2285.1,2285.55,1778252460,317
2285.95,2285.95,2284.45,2285.1,1778252400,616
2284.55,2284.65,2283.4,2283.55,1778252340,3673
2283.2,2283.65,2282.95,2283.0,1778252280,2248
2282.9,2283.8,2282.7,2283.8,1778252220,516
2283.25,2285.0,2283.25,2285.0,1778252160,5297
2285.25,2285.25,2284.8,2285.1,1778252100,302
2285.8,2285.8,2285.0,2285.0,1778252040,1046
2284.5,2284.55,2282.8,2282.8,1778251980,373
2282.95,2284.7,2282.95,2284.7,1778251920,1657
2285.15,2286.2,2285.15,2286.2,1778251860,1059
2286.35,2286.4,2285.15,2285.15,1778251800,686
2285.15,2286.7,2284.45,2286.45,1778251740,678
2286.45,2288.65,2286.45,2288.45,1778251680,1925
2288.7,2288.7,2287.1,2287.1,1778251620,4298
2285.85,2286.25,2285.35,2285.35,1778251560,1375
2286.2,2286.3,2285.8,2286.3,1778251500,2882
2286.65,2287.15,2286.4,2286.8,1778251440,2610
2285.9,2285.9,2285.6,2285.6,1778251380,799
2286.7,2286.7,2285.15,2285.15,1778251320,768
2285.5,2285.75,2285.35,2285.4,1778251260,1233
2285.45,2286.8,2285.45,2286.8,1778251200,1545
2287.15,2287.15,2285.35,2286.65,1778251140,1417
2286.1,2286.85,2284.55,2284.55,1778251080,3941
2284.45,2284.5,2283.0,2283.15,1778251020,3020
2282.85,2282.85,2278.95,2278.95,1778250960,1027
2279.9,2281.5,2279.9,2281.5,1778250900,1883
2281.6,2283.2,2278.6,2278.6,1778250840,3296
2277.65,2277.9,2277.65,2277.7,1778250780,1228
2276.35,2278.3,2276.35,2278.1,1778250720,1040
2278.2,2278.2,2272.15,2272.65,1778250660,2159
2273.2,2279.6,2273.2,2279.6,1778250600,5954
2280.9,2282.75,2280.9,2282.65,1778250540,3073
2282.75,2283.7,2282.4,2283.7,1778250480,1729
2284.8,2285.4,2284.2,2285.35,1778250420,1336
2286.25,2286.35,2286.25,2286.35,1778250360,300
2287.55,2287.55,2286.8,2286.8,1778250300,95
2287.6,2287.6,2286.55,2286.55,1778250240,612
2285.9,2286.6,2285.05,2285.8,1778250180,2453
2286.4,2287.75,2286.4,2287.75,1778250120,6821
2288.8,2289.55,2288.8,2289.0,1778250060,662
2288.9,2290.05,2287.65,2288.3,1778250000,2833
2288.9,2288.9,2285.9,2286.35,1778249940,1165
2288.45,2291.5,2283.5,2283.5,1778249880,22981
2283.0,2283.1,2281.95,2283.1,1778249820,3510
2282.15,2282.9,2281.0,2281.0,1778249760,4122
2280.45,2280.65,2279.5,2280.05,1778249700,2871
2280.0,2280.2,2279.35,2280.15,1778249640,1427
2279.7,2279.7,2279.1,2279.3,1778249580,325
2279.6,2280.2,2278.45,2279.3,1778249520,1427
2279.35,2280.05,2277.65,2280.05,1778249460,3748
2281.65,2281.65,2279.9,2280.85,1778249400,1382
2279.75,2279.75,2278.9,2278.9,1778249340,601
2280.6,2281.0,2280.15,2280.8,1778249280,524
2280.85,2281.5,2279.1,2281.5,1778249220,3720
2281.4,2283.75,2281.2,2283.75,1778249160,6612
2284.3,2284.3,2278.75,2278.8,1778249100,7625
2278.9,2279.0,2277.7,2278.5,1778249040,1489
2278.15,2279.0,2277.15,2277.65,1778248980,1878
2277.35,2277.35,2275.5,2275.5,1778248920,1613
2275.8,2275.8,2273.85,2273.85,1778248860,1053
2274.25,2277.6,2274.25,2276.65,1778248800,2490
2274.1,2274.3,2274.05,2274.3,1778248740,4
2274.3,2274.45,2274.3,2274.45,1778248680,923
2274.55,2275.0,2274.55,2274.8,1778248620,881
2273.95,2274.55,2273.9,2274.55,1778248560,122
2275.0,2275.0,2274.0,2274.0,1778248500,1024
2274.25,2274.25,2273.8,2273.8,1778248440,430
2275.55,2276.2,2275.15,2275.7,1778248380,254
2275.45,2275.45,2274.65,2274.65,1778248320,434
2273.4,2274.15,2273.4,2274.15,1778248260,790
2274.0,2274.3,2273.7,2274.25,1778248200,1863
2273.35,2275.8,2273.35,2274.35,1778248140,875
2274.5,2274.55,2271.65,2271.65,1778248080,1917
2270.45,2270.95,2270.45,2270.55,1778248020,1365
2271.1,2271.1,2270.2,2270.85,1778247960,984
2272.75,2272.95,2270.65,2270.7,1778247900,707
2270.7,2271.9,2270.55,2271.9,1778247840,1328
2271.4,2271.4,2270.15,2270.15,1778247780,1186
2270.65,2271.15,2269.85,2270.05,1778247720,311
2270.2,2271.75,2269.85,2271.7,1778247660,3434
2271.1,2271.1,2268.7,2270.6,1778247600,5906
2270.65,2274.25,2270.55,2274.25,1778247540,2890
2275.15,2275.15,2273.75,2274.6,1778247480,30
2275.6,2277.8,2275.5,2276.45,1778247420,2141
2277.05,2277.4,2276.05,2276.05,1778247360,1780
