close,high,low,open,time,volume,rsi,macd,ema20,ema50,atr,returns,volatility,momentum,volume_ma,volume_spike,body,upper_wick,lower_wick
2275.3,2275.3,2274.65,2275.0,1778254020,4264,29.744904743238436,-3.0534235720083416,2280.3287150557985,2284.0826914473055,2.175472174142345,0.00032973555208726246,0.0005984520566567473,-4.049999999999727,2939.7,1.4504881450488145,0.3000000000001819,0.0,0.34999999999990905
2274.15,2275.7,2274.15,2274.7,1778253960,761,27.69939955368386,-3.165706665219659,2279.740266002865,2283.6931741356466,2.130795590275015,-0.0005054278556674285,0.0005124940815129258,-3.549999999999727,2922.5,0.260393498716852,0.5499999999997272,1.0,0.0
2275.3,2275.3,2274.0,2274.65,1778253900,1489,32.684648009380794,-3.125863428673256,2279.317383526402,2283.364030051896,2.071453048112527,0.0005056834421652834,0.0005704785235178363,-1.449999999999818,2938.4,0.506738361012796,0.650000000000091,0.0,0.650000000000091
2275.65,2275.65,2274.2,2274.95,1778253840,1384,34.17232386528126,-3.031104614527976,2278.96810890484,2283.061519069469,2.0270635446759373,0.00015382586911605323,0.0005541628714003505,-0.849999999999909,2992.55,0.46248182987752917,0.7000000000002728,0.0,0.75
2275.7,2279.7,2275.7,2279.65,1778253780,1943,34.39538055750215,-2.9183322716557996,2278.656860437712,2282.772832047137,2.1715590057704937,2.1971744336601873e-05,0.00047312644954350787,1.1499999999996362,3073.25,0.6322297242333035,3.950000000000273,0.04999999999972715,0.0
2280.05,2281.1,2279.4,2280.15,1778253720,1158,50.204308985533096,-2.449711977136303,2278.789540396025,2282.666054319798,2.4021619339297504,0.0019114997583162818,0.0007980554414315274,4.75,2968.35,0.3901157208550205,0.09999999999990905,0.9499999999998181,0.650000000000091
2280.1,2280.1,2277.4,2278.8,1778253660,3661,50.35240101806517,-2.0506537751380165,2278.914346072594,2282.5654247386296,2.423436081506184,2.192934365452537e-05,0.0007532626115102646,5.949999999999818,3081.55,1.1880384871249858,1.2999999999997272,0.0,1.400000000000091
2278.8,2278.8,2278.4,2278.4,1778253600,169,46.481779490626074,-1.818335767587996,2278.9034559704423,2282.417761023389,2.371762075684301,-0.000570150431998484,0.0007665019380680944,3.5,2835.2,0.05960778781038375,0.40000000000009095,0.0,0.0
2279.3,2279.3,2278.05,2278.2,1778253540,1167,48.133213411211145,-1.575712419592037,2278.9412220684953,2282.295495885217,2.291636213135422,0.000219413726522788,0.0007640198777484149,3.650000000000091,2808.55,0.4155169037403642,1.1000000000003638,0.0,0.1499999999996362
2277.45,2278.55,2277.0,2278.55,1778253480,1019,42.86299669311546,-1.5152444128193565,2278.799200919115,2282.1054764387377,2.292233626482905,-0.0008116527003906304,0.0007577247293295138,1.75,2784.55,0.3659478192167495,1.1000000000003638,0.0,0.4499999999998181
2279.3,2279.35,2278.75,2278.9,1778253420,4322,48.88966176164464,-1.303023103662781,2278.8468960696755,2281.9954577548656,2.2642169388769897,0.0008123120156315888,0.0007868308225363016,-0.75,2936.15,1.4719956405496994,0.40000000000009095,0.04999999999972715,0.15000000000009095
2279.5,2279.5,2276.85,2277.3,1778253360,1608,49.509688752936796,-1.105949165108541,2278.909096443992,2281.8975966664398,2.2917728718143544,8.774623787988212e-05,0.0007513140001472851,-0.599999999999909,2971.15,0.541204584083604,2.199999999999818,0.0,0.45000000000027285
2277.3,2280.0,2277.0,2279.35,1778253300,3573,43.28877092740012,-1.1144416729066506,2278.755849163612,2281.717298757952,2.342360523827615,-0.0009651239306864845,0.0008321133520326274,-1.5,3118.0,1.145926876202694,2.049999999999727,0.650000000000091,0.3000000000001819
2279.35,2280.55,2279.35,2280.55,1778253240,461,49.638806340772014,-0.944862393569565,2278.8124349575537,2281.624463512542,2.407191914982785,0.0009001888200939057,0.0008712099561022803,0.04999999999972715,2977.05,0.15485127895063905,1.2000000000002728,0.0,0.0
2280.1,2280.1,2279.3,2279.7,1778253180,1028,51.766682305139845,-0.7414044123956955,2278.9350601996916,2281.5646806296972,2.292392492483995,0.0003290411740188848,0.0008711057589893662,2.650000000000091,2993.05,0.3434623544544862,0.40000000000009095,0.0,0.3999999999996362
2280.45,2281.05,2278.75,2281.05,1778253120,1043,52.76959567643326,-0.5456307301387824,2279.079340180673,2281.520967663827,2.2929358858780082,0.00015350203938413465,0.0006298606539275267,1.1499999999996362,2691.5,0.38751625487646296,0.6000000000003638,0.0,1.699999999999818
2282.7,2282.75,2281.7,2281.7,1778253060,1091,58.712922174867145,-0.20654159754258217,2279.424164925371,2281.56720422603,2.2934404654581635,0.000986647372229088,0.0007004961116952033,3.199999999999818,1791.15,0.609105881696117,1.0,0.0500000000001819,0.0
2280.4,2280.4,2280.2,2280.2,1778253000,1092,51.56914560600331,-0.12199550678997184,2279.517101599145,2281.5214315112835,2.3081947179254376,-0.0010075787444691064,0.0007591782316522624,3.099999999999909,1639.6,0.6660161014881679,0.20000000000027285,0.0,0.0
2280.0,2280.9,2279.0,2280.15,1778252940,2440,50.420158352075774,-0.08627426182101772,2279.563091923036,2281.461767530449,2.2790379523593414,-0.00017540782318892223,0.0007608351729421481,0.650000000000091,1738.25,1.403710628505681,0.15000000000009095,0.75,1.0
2280.7,2281.75,2280.7,2281.75,1778252880,45,52.41813084726494,-0.0014638931211266026,2279.671368882747,2281.431894293961,2.241249527190817,0.0003070175438595335,0.000703237282323573,0.599999999999909,1685.9,0.026691974612966365,1.050000000000182,0.0,0.0
2282.95,2283.75,2282.95,2283.1,1778252820,100,58.24296053343485,0.24448683897298906,2279.9836194653426,2281.4914278510605,2.299017418105772,0.000986539220414695,0.0007235319302607617,2.5,1477.7,0.06767273465520741,0.15000000000009095,0.650000000000091,0.0
2282.45,2282.45,2281.35,2281.45,1778252760,1851,56.5852186840804,0.3945110668078087,2280.2185128495958,2281.529018915725,2.2490876025267816,-0.00021901487110975726,0.0007333837337157,-0.25,1532.2,1.2080668320062655,1.0,0.0,0.09999999999990905
2280.4,2281.9,2280.2,2281.5,1778252700,1794,50.26790057455069,0.34402280010499453,2280.2357973401104,2281.484743664128,2.2491527737748687,-0.0008981576814386383,0.0007225021923372515,0.0,1547.45,1.1593266341400368,1.099999999999909,0.40000000000009095,0.20000000000027285
2281.45,2282.4,2281.35,2282.1,1778252640,3630,53.1528177128636,0.3843066618037483,2280.3514356886712,2281.4833811674957,2.2313561470766636,0.0004604455358707682,0.000683152165949756,1.449999999999818,1659.75,2.1870763669227293,0.650000000000091,0.3000000000001819,0.09999999999990905
2282.6,2282.7,2281.05,2282.7,1778252580,1061,56.15288372731595,0.5032264205501633,2280.5655846707027,2281.5271701413194,2.1898307079997332,0.0005040653970063147,0.0006920751216009498,1.900000000000091,1615.65,0.6567016371119982,0.09999999999990905,0.0,1.5499999999997272
2284.3,2286.7,2284.3,2286.7,1778252520,1431,60.20948787039667,0.7262749332940075,2280.921243273493,2281.63590856715,2.3262713717140318,0.000744764741960946,0.0007208803341207011,1.3500000000003638,1629.3,0.8782912907383539,2.399999999999636,0.0,0.0
